Date,Return_1M,Strategy_Return,Market_Cumulative,Strategy_Cumulative
2024-10-03,0.007287617968484989,-0.001300456574714998,0.007287617968484989,-0.001300456574714998
2024-10-04,2.619302866257122e-05,-0.0020392902480736,0.00731381099714756,-0.003339746822788598
2024-10-07,-0.009612737436952396,-0.002637680036661418,-0.0022989264398048355,-0.005977426859450016
2024-10-08,0.004347316405779541,-0.002849204743965453,0.002048389965974706,-0.008826631603415468
2024-10-09,0.006290674118839693,-0.001255934119371402,0.008339064084814399,-0.01008256572278687
2024-10-10,0.0016149992043507147,-0.002230229451394294,0.009954063289165113,-0.012312795174181164
2024-10-11,0.00921448178644457,-0.0076187669084101005,0.01916854507560968,-0.019931562082591264
2024-10-14,-0.005306806169751244,-0.005931938148249293,0.013861738905858435,-0.025863500230840556
2024-10-15,-0.009936994069189605,-0.0056386569545982534,0.0039247448366688305,-0.031502157185438806
2024-10-16,-0.01179097387116565,-0.007104955928094804,-0.00786622903449682,-0.03860711311353361
2024-10-17,-0.025407269524672187,-0.017513393572639948,-0.03327349855916901,-0.05612050668617356
2024-10-18,-0.016663606325606227,-0.014648470087743224,-0.049937104884775235,-0.07076897677391679
2024-10-21,-0.021652181457998347,-0.016917070178857036,-0.07158928634277359,-0.08768604695277382
2024-10-22,-0.04820710951298107,-0.02242989128306717,-0.11979639585575466,-0.110115938235841
2024-10-23,-0.05862699182992856,-0.022638315393331863,-0.17842338768568322,-0.13275425362917287
2024-10-24,-0.062318102164094356,-0.019406428255086726,-0.24074148984977758,-0.1521606818842596
2024-10-25,-0.07792658511730445,-0.016663093957331985,-0.31866807496708205,-0.16882377584159158
2024-10-28,-0.08098311385493676,-0.020115244426706518,-0.3996511888220188,-0.1889390202682981
2024-10-29,-0.08341069609459993,-0.01745734451186153,-0.4830618849166187,-0.20639636478015963
2024-10-30,-0.07874455030028409,-0.011596807153096345,-0.5618064352169028,-0.21799317193325599
2024-10-31,-0.08135811572390798,-0.016639236843942886,-0.6431645509408107,-0.23463240877719888
2024-11-01,-0.058883959924407245,-0.010109093587615926,-0.7020485108652179,-0.2447415023648148
2024-11-04,-0.06344554761790924,-0.009742731186093881,-0.7654940584831271,-0.25448423355090866
2024-11-05,-0.04388612101160257,-0.007606432002467196,-0.8093801794947297,-0.26209066555337585
2024-11-06,-0.0362140749702518,-0.0028145448453082106,-0.8455942544649815,-0.26490521039868403
2024-11-07,-0.04893408799009623,-0.004512480924818623,-0.8945283424550777,-0.26941769132350263
2024-11-08,-0.05072061217771265,-0.0035435371683599556,-0.9452489546327904,-0.2729612284918626
2024-11-11,-0.05726581318310658,-0.0015341800613636592,-1.002514767815897,-0.27449540855322624
2024-11-12,-0.07333379585337219,-0.001684431012592398,-1.0758485636692692,-0.27617983956581865
2024-11-13,-0.08210456063353769,-0.0019822864503503406,-1.157953124302807,-0.278162126016169
2024-11-14,-0.08123400140723015,-0.0032867409546861143,-1.239187125710037,-0.28144886697085514
2024-11-18,-0.07190852309223211,-0.004433730485565128,-1.3110956488022691,-0.28588259745642025
2024-11-19,-0.07360512931140831,-0.006813170460311645,-1.3847007781136775,-0.2926957679167319
2024-11-21,-0.0745119133723508,-0.005229460349255214,-1.4592126914860284,-0.2979252282659871
2024-11-22,-0.03967819043962637,0.0,-1.4988908819256548,-0.2979252282659871
2024-11-25,-0.026459611877265397,0.0,-1.52535049380292,-0.2979252282659871
2024-11-26,-0.027688134676088532,0.0,-1.5530386284790085,-0.2979252282659871
2024-11-27,-0.010598367769639539,-0.0008313434712647837,-1.563636996248648,-0.2987565717372519
2024-11-28,-0.03219612556393085,-0.0017204504373513224,-1.595833121812579,-0.3004770221746032
2024-11-29,-0.02467646083627362,-0.0023269819220641205,-1.6205095826488527,-0.3028040040966673
2024-12-02,-0.01560490536962517,0.0,-1.636114488018478,-0.3028040040966673
2024-12-03,-0.0060514670356742245,0.0,-1.642165955054152,-0.3028040040966673
2024-12-04,-0.011777267716622575,0.0,-1.6539432227707747,-0.3028040040966673
2024-12-05,0.00803516839536089,0.0,-1.6459080543754139,-0.3028040040966673
2024-12-06,0.00048589855943034646,0.0,-1.6454221558159836,-0.3028040040966673
2024-12-09,-0.015358054315616473,0.0,-1.6607802101316,-0.3028040040966673
2024-12-10,-0.0046355917542133,0.0,-1.6654158018858134,-0.3028040040966673
2024-12-11,9.680079929951128e-06,0.0,-1.6654061218058835,-0.3028040040966673
